transaction_id,date,product_id,product_name,quantity,unit_price,total_amount,customer_id,customer_name,industry,region,sales_rep,payment_method,status,fiscal_quarter
TXN001,2023-01-05,SKU-1001,Cloud License Annual,3,2000,6000,CUST-101,Acme Corp,Technology,Northeast,John Smith,ACH,Completed,Q1 2023
TXN002,2023-01-08,SKU-1002,Support Package Premium,2,1500,3000,CUST-102,TechFlow Inc,SaaS,West,Sarah Jones,CC,Completed,Q1 2023
TXN003,2023-01-11,SKU-1004,Implementation Services,10,500,5000,CUST-103,FinServe Partners,Financial Services,Southeast,Mike Chen,Wire,Completed,Q1 2023
TXN004,2023-01-14,SKU-1003,Data Analytics Module,1,5000,5000,CUST-104,DataVault Solutions,Technology,Midwest,Emily Davis,ACH,Completed,Q1 2023
TXN005,2023-01-17,SKU-1005,Training Enablement,4,800,3200,CUST-105,Nexus Consulting,Consulting,Southwest,Robert Taylor,CC,Completed,Q1 2023
TXN006,2023-01-20,SKU-1001,Cloud License Annual,5,2000,10000,CUST-106,CloudBridge LLC,Technology,West,Sarah Jones,ACH,Completed,Q1 2023
TXN007,2023-01-23,SKU-1002,Support Package Premium,3,1500,4500,CUST-107,Meridian Systems,Healthcare,Southeast,Mike Chen,CC,Pending,Q1 2023
TXN008,2023-01-26,SKU-1003,Data Analytics Module,2,5000,10000,CUST-108,Apex Analytics,Financial Services,Northeast,John Smith,Wire,Completed,Q1 2023
TXN009,2023-01-29,SKU-1004,Implementation Services,8,500,4000,CUST-109,Summit Financial,Financial Services,Northeast,John Smith,ACH,Completed,Q1 2023
TXN010,2023-02-02,SKU-1005,Training Enablement,5,800,4000,CUST-110,Riverstone Tech,SaaS,West,Sarah Jones,CC,Completed,Q1 2023
TXN011,2023-02-05,SKU-1001,Cloud License Annual,4,2000,8000,CUST-111,BlueSky Ventures,Technology,Midwest,Emily Davis,ACH,Completed,Q1 2023
TXN012,2023-02-08,SKU-1002,Support Package Premium,2,1500,3000,CUST-112,PeakData Corp,Consulting,Southwest,Robert Taylor,Wire,Completed,Q1 2023
TXN013,2023-02-11,SKU-1003,Data Analytics Module,1,5000,5000,CUST-113,Horizon Group,Healthcare,Southeast,Mike Chen,ACH,Completed,Q1 2023
TXN014,2023-02-14,SKU-1004,Implementation Services,15,500,7500,CUST-114,Sterling Partners,Consulting,Northeast,John Smith,CC,Completed,Q1 2023
TXN015,2023-02-17,SKU-1005,Training Enablement,3,800,2400,CUST-115,Quantum Analytics,Technology,West,Sarah Jones,ACH,Completed,Q1 2023
TXN016,2023-02-20,SKU-1001,Cloud License Annual,6,2000,12000,CUST-101,Acme Corp,Technology,Northeast,John Smith,Wire,Completed,Q1 2023
TXN017,2023-02-23,SKU-1002,Support Package Premium,4,1500,6000,CUST-102,TechFlow Inc,SaaS,West,Sarah Jones,CC,Completed,Q1 2023
TXN018,2023-02-26,SKU-1003,Data Analytics Module,2,5000,10000,CUST-103,FinServe Partners,Financial Services,Southeast,Mike Chen,ACH,Completed,Q1 2023
TXN019,2023-03-01,SKU-1004,Implementation Services,12,500,6000,CUST-104,DataVault Solutions,Technology,Midwest,Emily Davis,CC,Cancelled,Q1 2023
TXN020,2023-03-04,SKU-1005,Training Enablement,6,800,4800,CUST-105,Nexus Consulting,Consulting,Southwest,Robert Taylor,ACH,Completed,Q1 2023
TXN021,2023-03-07,SKU-1001,Cloud License Annual,2,2000,4000,CUST-106,CloudBridge LLC,Technology,West,Sarah Jones,Wire,Completed,Q1 2023
TXN022,2023-03-10,SKU-1002,Support Package Premium,5,1500,7500,CUST-107,Meridian Systems,Healthcare,Southeast,Mike Chen,ACH,Completed,Q1 2023
TXN023,2023-03-13,SKU-1003,Data Analytics Module,3,5000,15000,CUST-108,Apex Analytics,Financial Services,Northeast,John Smith,CC,Completed,Q1 2023
TXN024,2023-03-16,SKU-1004,Implementation Services,7,500,3500,CUST-109,Summit Financial,Financial Services,Northeast,John Smith,ACH,Completed,Q1 2023
TXN025,2023-03-19,SKU-1005,Training Enablement,2,800,1600,CUST-110,Riverstone Tech,SaaS,West,Sarah Jones,CC,Pending,Q1 2023
TXN026,2023-03-22,SKU-1001,Cloud License Annual,8,2000,16000,CUST-111,BlueSky Ventures,Technology,Midwest,Emily Davis,ACH,Completed,Q1 2023
TXN027,2023-03-25,SKU-1002,Support Package Premium,1,1500,1500,CUST-112,PeakData Corp,Consulting,Southwest,Robert Taylor,Wire,Completed,Q1 2023
TXN028,2023-03-28,SKU-1003,Data Analytics Module,4,5000,20000,CUST-113,Horizon Group,Healthcare,Southeast,Mike Chen,ACH,Completed,Q1 2023
TXN029,2023-03-31,SKU-1004,Implementation Services,18,500,9000,CUST-114,Sterling Partners,Consulting,Northeast,John Smith,CC,Completed,Q1 2023
TXN030,2023-04-03,SKU-1005,Training Enablement,7,800,5600,CUST-115,Quantum Analytics,Technology,West,Sarah Jones,ACH,Completed,Q2 2023
TXN031,2023-04-06,SKU-1001,Cloud License Annual,5,2000,10000,CUST-101,Acme Corp,Technology,Northeast,John Smith,Wire,Completed,Q2 2023
TXN032,2023-04-09,SKU-1002,Support Package Premium,3,1500,4500,CUST-103,FinServe Partners,Financial Services,Southeast,Mike Chen,ACH,Completed,Q2 2023
TXN033,2023-04-12,SKU-1003,Data Analytics Module,2,5000,10000,CUST-104,DataVault Solutions,Technology,Midwest,Emily Davis,CC,Completed,Q2 2023
TXN034,2023-04-15,SKU-1004,Implementation Services,14,500,7000,CUST-105,Nexus Consulting,Consulting,Southwest,Robert Taylor,ACH,Completed,Q2 2023
TXN035,2023-04-18,SKU-1005,Training Enablement,4,800,3200,CUST-106,CloudBridge LLC,Technology,West,Sarah Jones,CC,Completed,Q2 2023
TXN036,2023-04-21,SKU-1001,Cloud License Annual,7,2000,14000,CUST-107,Meridian Systems,Healthcare,Southeast,Mike Chen,Wire,Completed,Q2 2023
TXN037,2023-04-24,SKU-1002,Support Package Premium,6,1500,9000,CUST-108,Apex Analytics,Financial Services,Northeast,John Smith,ACH,Completed,Q2 2023
TXN038,2023-04-27,SKU-1003,Data Analytics Module,1,5000,5000,CUST-109,Summit Financial,Financial Services,Northeast,John Smith,CC,Completed,Q2 2023
TXN039,2023-04-30,SKU-1004,Implementation Services,9,500,4500,CUST-110,Riverstone Tech,SaaS,West,Sarah Jones,ACH,Pending,Q2 2023
TXN040,2023-05-03,SKU-1005,Training Enablement,8,800,6400,CUST-111,BlueSky Ventures,Technology,Midwest,Emily Davis,CC,Completed,Q2 2023
TXN041,2023-05-06,SKU-1001,Cloud License Annual,3,2000,6000,CUST-112,PeakData Corp,Consulting,Southwest,Robert Taylor,ACH,Completed,Q2 2023
TXN042,2023-05-09,SKU-1002,Support Package Premium,4,1500,6000,CUST-113,Horizon Group,Healthcare,Southeast,Mike Chen,Wire,Completed,Q2 2023
TXN043,2023-05-12,SKU-1003,Data Analytics Module,3,5000,15000,CUST-114,Sterling Partners,Consulting,Northeast,John Smith,ACH,Completed,Q2 2023
TXN044,2023-05-15,SKU-1004,Implementation Services,11,500,5500,CUST-115,Quantum Analytics,Technology,West,Sarah Jones,CC,Completed,Q2 2023
TXN045,2023-05-18,SKU-1005,Training Enablement,5,800,4000,CUST-101,Acme Corp,Technology,Northeast,John Smith,ACH,Completed,Q2 2023
TXN046,2023-05-21,SKU-1001,Cloud License Annual,9,2000,18000,CUST-102,TechFlow Inc,SaaS,West,Sarah Jones,Wire,Completed,Q2 2023
