month,forecast_revenue,confidence_interval_low,confidence_interval_high,historical_actual,forecast_type,growth_rate_mom,cumulative_forecast
2024-01,5100000,5100000,5100000,5100000,Actual,0.00,5100000
2024-02,5420000,5420000,5420000,5420000,Actual,0.00,10520000
2024-03,5230000,5230000,5230000,5230000,Actual,0.00,15750000
2024-04,5680000,5283240,6076760,,Forecast,0.0861,21430000
2024-05,5850000,5440500,6259500,,Forecast,0.0299,27280000
2024-06,6020000,5598600,6441400,,Forecast,0.0291,33300000
2024-07,6195000,5761350,6628650,,Forecast,0.0291,39495000
2024-08,6370000,5924100,6815900,,Forecast,0.0282,45865000
2024-09,6560000,6100800,7019200,,Forecast,0.0298,52425000
2024-10,6740000,6268200,7211800,,Forecast,0.0274,59165000
2024-11,6960000,6472800,7447200,,Forecast,0.0326,66125000
2024-12,7200000,6696000,7704000,,Forecast,0.0345,73325000
