ria_firm_id,ria_firm_name,region,rd_owner,ria_tier,aum_on_platform_m,total_aum_m,platform_capture_pct,net_flows_qtd_m,net_flows_ytd_m,product_mix_pct_etf,product_mix_pct_mutual_fund,product_mix_pct_model_portfolio,product_mix_pct_sma,engagement_score,last_rd_touchpoint,touchpoint_count_ytd,status,primary_product_interest,onboarding_date
RIA-001,Reeves Wealth Partners,Southwest,Michael Tanaka,Silver,84.5,198.8,42.5,-2.5,-5.8,35,40,25,0,6,2026-04-15,7,At-Risk,Mutual Fund,2021-03-15
RIA-002,Meridian Capital Advisors,Northeast,Priya Nambiar,Platinum,412.0,895.7,46.0,18.2,38.4,50,20,30,0,9,2026-05-08,12,Growth,ETF,2020-06-01
RIA-003,Bluewater Wealth Management,West,Dana Whitfield,Gold,298.7,624.4,47.8,22.4,48.6,60,15,25,0,8,2026-04-28,10,ETF,ETF,2021-09-20
RIA-004,Clearpath Financial Group,Southeast,James Odem,Gold,187.3,442.5,42.3,-4.1,-9.7,30,55,15,0,5,2026-03-30,5,At-Risk,Mutual Fund,2022-01-10
RIA-005,Summit Ridge Advisors,Midwest,Lisa Huang,Gold,221.6,498.0,44.5,9.8,22.1,40,35,25,0,7,2026-05-12,9,Active,Model Portfolio,2021-07-05
RIA-006,Harborview Wealth Partners,Northeast,Priya Nambiar,Gold,389.4,812.3,47.9,14.6,31.8,55,20,25,0,9,2026-05-18,13,Growth,ETF,2020-11-15
RIA-007,Ashford Legacy Group,Southeast,James Odem,Gold,145.2,358.9,40.5,3.1,6.8,25,50,25,0,6,2026-04-22,7,Active,Mutual Fund,2022-08-01
RIA-008,Pacific Crest Capital,West,Dana Whitfield,Platinum,504.1,1005.2,50.1,31.7,68.9,65,10,25,0,10,2026-05-14,14,Growth,ETF,2020-03-22
RIA-009,Riverton Private Wealth,Midwest,Lisa Huang,Gold,176.8,412.6,42.9,-1.9,-4.2,35,45,20,0,5,2026-03-18,4,At-Risk,Mutual Fund,2022-05-30
RIA-010,Keystone Advisor Group,Northeast,Priya Nambiar,Gold,267.9,578.2,46.3,7.3,16.1,45,30,25,0,7,2026-05-05,10,Active,ETF,2021-04-12
RIA-011,Crestwood Planning Associates,Southwest,Michael Tanaka,Gold,119.3,285.4,41.8,4.4,9.6,30,40,30,0,7,2026-04-10,8,Active,Model Portfolio,2021-12-07
RIA-012,Thornfield Investment Partners,West,Dana Whitfield,Gold,338.6,712.8,47.5,12.9,28.1,55,15,30,0,8,2026-05-02,11,Growth,ETF,2020-09-14
RIA-013,Lakewood Financial Services,Midwest,Lisa Huang,Silver,93.4,248.5,37.6,-3.3,-7.1,20,60,20,0,4,2026-02-25,3,At-Risk,Mutual Fund,2023-02-28
RIA-014,Northgate Capital Advisors,Northwest,Carlos Rivera,Gold,215.8,478.4,45.1,11.2,24.5,45,25,20,10,7,2026-04-30,9,Active,ETF,2021-06-18
RIA-015,Sterling Bridge Partners,Northeast,Priya Nambiar,Gold,178.4,396.4,45.0,8.6,18.9,40,30,20,10,7,2026-05-06,8,Active,ETF,2022-03-05
RIA-016,Olympia Wealth Group,West,Dana Whitfield,Gold,154.7,344.9,44.9,6.3,14.0,35,30,25,10,6,2026-04-18,7,Active,Model Portfolio,2022-10-12
RIA-017,Cascade Advisory Services,Northwest,Carlos Rivera,Gold,132.5,312.9,42.3,5.1,11.2,40,30,20,10,7,2026-05-15,8,Active,ETF,2022-07-20
RIA-018,Pinnacle Family Office,Southwest,Michael Tanaka,Gold,287.6,596.1,48.2,16.4,35.8,50,15,25,10,8,2026-05-09,11,Growth,ETF,2021-01-25
RIA-019,Vanguard Plains Advisors,Midwest,Lisa Huang,Gold,163.2,382.8,42.6,7.8,17.2,40,30,20,10,7,2026-05-20,9,Active,Model Portfolio,2022-04-08
RIA-020,Coastal Heritage Wealth,Southeast,James Odem,Gold,198.5,441.1,45.0,9.4,20.6,40,30,20,10,7,2026-05-07,9,Active,ETF,2021-11-03
RIA-021,BlueSky Capital Management,West,Dana Whitfield,Gold,245.3,533.3,46.0,13.7,29.9,50,20,20,10,8,2026-04-25,10,Growth,ETF,2021-05-17
RIA-022,Ridgeline Investment Group,Northwest,Carlos Rivera,Gold,188.9,421.0,44.9,9.2,20.1,45,25,20,10,7,2026-05-12,9,Active,ETF,2021-08-30
RIA-023,Emerald Bay Advisors,West,Dana Whitfield,Silver,67.4,179.7,37.5,2.1,4.5,35,35,20,10,6,2026-04-08,6,Active,ETF,2023-06-14
RIA-024,Foxworth Financial Partners,Southeast,James Odem,Silver,54.2,152.0,35.7,-1.2,-2.8,30,45,15,10,5,2026-03-22,5,At-Risk,Mutual Fund,2023-01-19
RIA-025,Greenfield Wealth Advisors,Midwest,Lisa Huang,Gold,142.8,340.0,42.0,6.2,13.5,35,30,25,10,6,2026-05-16,7,Active,Model Portfolio,2022-09-25
