customer_id,customer_name,industry,company_size,hq_state,annual_revenue_usd,region,account_manager,contract_start_date,contract_end_date,arr_value,health_score,renewal_probability,segment,support_tier
CUST-101,Acme Corp,Technology,Enterprise,TX,500000000,Northeast,John Smith,2022-03-15,2025-03-15,450000,95,0.98,Strategic,Platinum
CUST-102,TechFlow Inc,SaaS,Mid-Market,CA,50000000,West,Sarah Jones,2022-07-01,2025-07-01,185000,88,0.91,Enterprise,Gold
CUST-103,FinServe Partners,Financial Services,Enterprise,NY,2000000000,Southeast,Mike Chen,2021-01-10,2025-01-10,500000,92,0.96,Strategic,Platinum
CUST-104,DataVault Solutions,Technology,Mid-Market,IL,75000000,Midwest,Emily Davis,2022-09-01,2025-09-01,310000,85,0.89,Enterprise,Gold
CUST-105,Nexus Consulting,Consulting,SMB,TX,8000000,Southwest,Robert Taylor,2023-02-15,2025-02-15,72000,79,0.80,SMB,Silver
CUST-106,CloudBridge LLC,Technology,Enterprise,WA,300000000,West,Sarah Jones,2022-07-01,2025-07-01,420000,91,0.95,Strategic,Platinum
CUST-107,Meridian Systems,Healthcare,Mid-Market,GA,120000000,Southeast,Mike Chen,2022-08-15,2025-08-15,340000,87,0.90,Enterprise,Gold
CUST-108,Apex Analytics,Financial Services,Enterprise,MA,800000000,Northeast,John Smith,2021-06-15,2025-06-15,480000,94,0.97,Strategic,Platinum
CUST-109,Summit Financial,Financial Services,Mid-Market,NY,200000000,Northeast,John Smith,2022-05-20,2025-05-20,380000,90,0.93,Enterprise,Gold
CUST-110,Riverstone Tech,SaaS,SMB,CA,12000000,West,Sarah Jones,2023-04-01,2025-04-01,95000,76,0.78,Growth,Silver
CUST-111,BlueSky Ventures,Technology,SMB,CO,5000000,Midwest,Emily Davis,2023-06-01,2025-06-01,58000,72,0.74,SMB,Standard
CUST-112,PeakData Corp,Consulting,Mid-Market,TX,45000000,Southwest,Robert Taylor,2022-11-01,2025-11-01,220000,83,0.86,Enterprise,Gold
CUST-113,Horizon Group,Healthcare,Enterprise,FL,600000000,Southeast,Mike Chen,2021-04-30,2025-04-30,395000,89,0.92,Strategic,Platinum
CUST-114,Sterling Partners,Consulting,Enterprise,VA,250000000,Northeast,John Smith,2021-02-28,2025-02-28,360000,93,0.96,Strategic,Platinum
CUST-115,Quantum Analytics,Technology,Mid-Market,OR,85000000,West,Sarah Jones,2022-10-31,2025-10-31,290000,82,0.85,Enterprise,Gold
